comName,sciName,measure_name,time,detections_cnt
California Towhee,Melozone crissalis,Confidence,2024-02-15T16:00:00,6
California Towhee,Melozone crissalis,Confidence,2024-02-16T01:00:00,4
California Towhee,Melozone crissalis,Confidence,2024-02-16T14:00:00,9
California Towhee,Melozone crissalis,Confidence,2024-02-16T15:00:00,19
California Towhee,Melozone crissalis,Confidence,2024-02-16T16:00:00,11
California Towhee,Melozone crissalis,Confidence,2024-02-16T17:00:00,5
California Towhee,Melozone crissalis,Confidence,2024-02-17T00:00:00,2
California Towhee,Melozone crissalis,Confidence,2024-02-17T01:00:00,23
California Towhee,Melozone crissalis,Confidence,2024-02-17T14:00:00,8
Mourning Dove,Zenaida macroura,Confidence,2024-02-11T14:00:00,6
Mourning Dove,Zenaida macroura,Confidence,2024-02-11T16:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-11T19:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-13T01:00:00,8
Mourning Dove,Zenaida macroura,Confidence,2024-02-13T14:00:00,10
Mourning Dove,Zenaida macroura,Confidence,2024-02-13T16:00:00,7
Mourning Dove,Zenaida macroura,Confidence,2024-02-13T17:00:00,22
Mourning Dove,Zenaida macroura,Confidence,2024-02-15T14:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-15T16:00:00,8
Mourning Dove,Zenaida macroura,Confidence,2024-02-15T17:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-16T00:00:00,40
Mourning Dove,Zenaida macroura,Confidence,2024-02-16T01:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-16T14:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-16T16:00:00,6
Mourning Dove,Zenaida macroura,Confidence,2024-02-16T17:00:00,2
Mourning Dove,Zenaida macroura,Confidence,2024-02-17T14:00:00,3
Stellers Jay,Cyanocitta stelleri,confidence,2024-02-17T17:00:00,2
Stellers Jay,Cyanocitta stelleri,confidence,2024-02-17T18:00:00,42
Stellers Jay,Cyanocitta stelleri,confidence,2024-02-17T19:00:00,1
Canada Goose,Branta canadensis,Confidence,2024-02-11T01:00:00,2
Canada Goose,Branta canadensis,Confidence,2024-02-11T04:00:00,2
Canada Goose,Branta canadensis,Confidence,2024-02-12T11:00:00,2
Canada Goose,Branta canadensis,Confidence,2024-02-14T11:00:00,2
Canada Goose,Branta canadensis,Confidence,2024-02-14T17:00:00,2
Mourning Dove,Zenaida macroura,confidence,2024-02-17T17:00:00,1
Red-tailed Hawk,Buteo jamaicensis,confidence,2024-02-17T18:00:00,5
Red-tailed Hawk,Buteo jamaicensis,confidence,2024-02-17T19:00:00,1
Hermit Thrush,Catharus guttatus,Confidence,2024-02-13T14:00:00,2
Whimbrel,Numenius phaeopus,Confidence,2024-02-16T23:00:00,2
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-11T01:00:00,3
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-12T14:00:00,5
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-13T01:00:00,4
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-13T15:00:00,2
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-15T14:00:00,2
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-16T00:00:00,2
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-16T01:00:00,7
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-16T15:00:00,6
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-17T00:00:00,2
Yellow-rumped Warbler,Setophaga coronata,Confidence,2024-02-17T01:00:00,5
Downy Woodpecker,Dryobates pubescens,Confidence,2024-02-16T15:00:00,2
Wrentit,Chamaea fasciata,Confidence,2024-02-13T20:00:00,2
